latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-20.48615,22.77016,305.59,1.21,1.09,5/17/2022,7,A,65,6.1NRT,285.11,11.52,N
-20.59866,14.93224,309.98,1.6,1.25,5/17/2022,7,A,79,6.1NRT,292.36,18.08,N
-20.6014,14.94755,323.21,1.6,1.24,5/17/2022,7,A,100,6.1NRT,293.58,40.19,N
-20.60415,14.96289,307.92,1.59,1.24,5/17/2022,7,A,35,6.1NRT,292.49,13.35,N
-20.62638,14.95864,315.87,1.59,1.24,5/17/2022,7,A,40,6.1NRT,293.89,22.47,N
-20.63744,14.95616,309.07,1.59,1.24,5/17/2022,7,A,55,6.1NRT,294.05,14.1,N
-20.64581,14.93829,316.6,1.6,1.24,5/17/2022,7,A,76,6.1NRT,295,24.69,N
-20.64846,14.95344,324.43,1.59,1.24,5/17/2022,7,A,100,6.1NRT,295.37,40.23,N
-20.65689,14.93585,311.48,1.6,1.24,5/17/2022,7,A,28,6.1NRT,294.59,16.72,N
-20.67958,14.86291,306.07,1.61,1.25,5/17/2022,7,A,40,6.1NRT,293.56,11.68,N
-33.95673,19.499,306.51,1.17,1.08,5/17/2022,9,A,45,6.1NRT,278.71,11.75,N
-4.12357,25.99177,303.99,1.17,1.08,5/17/2022,3,A,53,6.1NRT,286.36,8.41,N
-7.48741,21.58226,329.58,1.04,1.02,5/17/2022,3,A,100,6.1NRT,290.75,30.47,N
-7.48882,21.59157,306.93,1.04,1.02,5/17/2022,3,A,70,6.1NRT,290.19,8.3,N
-7.9444,24.05106,300.11,1.05,1.02,5/17/2022,3,A,17,6.1NRT,288.6,5.17,N
-9.04296,20.77996,311.38,1.08,1.04,5/17/2022,3,A,82,6.1NRT,289.23,13.2,N
-9.04444,20.78968,347.15,1.07,1.03,5/17/2022,3,A,100,6.1NRT,291.51,64.23,N
-9.04591,20.7993,313.09,1.07,1.03,5/17/2022,3,A,86,6.1NRT,288.8,14.38,N
-9.05223,20.77859,317.98,1.08,1.04,5/17/2022,3,A,96,6.1NRT,289.29,19.25,N
-9.05371,20.78831,350.02,1.07,1.03,5/17/2022,3,A,100,6.1NRT,291.84,70.81,N
-9.05517,20.79794,335.16,1.07,1.03,5/17/2022,3,A,100,6.1NRT,290.63,41.3,N
-9.0615,20.77714,310.04,1.08,1.04,5/17/2022,3,A,79,6.1NRT,288.74,12.29,N
-9.06298,20.78691,315.17,1.07,1.03,5/17/2022,3,A,91,6.1NRT,289.24,16.52,N
-9.06444,20.79659,310.67,1.07,1.03,5/17/2022,3,A,81,6.1NRT,288.94,12.62,N
-11.88922,134.03249,313.8,1.04,1.02,5/17/2022,111,T,37,6.1NRT,300.89,5.45,D
-12.35844,134.33026,338.14,1.02,1.01,5/17/2022,111,T,87,6.1NRT,302.64,30.13,D
-12.3675,134.3289,340.93,1.02,1.01,5/17/2022,111,T,90,6.1NRT,302.27,35.42,D
-12.37028,134.34752,327.85,1.02,1.01,5/17/2022,111,T,50,6.1NRT,300.84,15.99,D
-12.37305,134.36613,320.04,1.02,1.01,5/17/2022,111,T,32,6.1NRT,301.44,8.4,D
-12.36684,134.26222,317.9,1.02,1.01,5/17/2022,111,T,66,6.1NRT,302.02,8.19,D
-12.3821,134.36476,320.3,1.02,1.01,5/17/2022,111,T,33,6.1NRT,301.07,8.91,D
-12.38006,134.29237,326.78,1.02,1.01,5/17/2022,111,T,79,6.1NRT,301,17.18,D
-12.38146,134.3017,321.47,1.02,1.01,5/17/2022,111,T,72,6.1NRT,300.63,11.35,D
-12.38912,134.291,374.65,1.02,1.01,5/17/2022,111,T,100,6.1NRT,305.54,127.98,D
-12.39053,134.30032,331.15,1.02,1.01,5/17/2022,111,T,83,6.1NRT,301.72,22.36,D
-12.39819,134.28963,347.89,1.02,1.01,5/17/2022,111,T,94,6.1NRT,302.83,50.91,D
-12.40726,134.28825,333.13,1.02,1.01,5/17/2022,111,T,84,6.1NRT,300.56,24.71,D
-12.40866,134.29758,341.14,1.02,1.01,5/17/2022,111,T,90,6.1NRT,302.06,37.3,D
-12.45298,134.59402,316.67,1.01,1,5/17/2022,111,T,56,6.1NRT,302.32,5.33,D
-12.41772,134.2962,321.26,1.02,1.01,5/17/2022,111,T,71,6.1NRT,300.53,10.64,D
-12.41912,134.30553,349.28,1.02,1.01,5/17/2022,111,T,95,6.1NRT,302.68,53.57,D
