latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
18.1563,145.78052,323.39,1.01,1.01,2022-05-28,0043,T,61,6.1NRT,305.21,13.12,D
18.15495,145.78998,319.1,1.01,1.01,2022-05-28,0043,T,42,6.1NRT,301.75,8.78,D
-2.60826,140.6725,318.66,1.05,1.02,2022-05-28,0050,T,19,6.1NRT,298.64,9.89,D
-7.45835,138.73248,312.15,1.14,1.06,2022-05-28,0052,T,60,6.1NRT,297.84,5.55,D
-7.82195,138.82869,310.17,1.12,1.05,2022-05-28,0052,T,52,6.1NRT,297.14,5.15,D
-8.60844,141.78613,326.32,1.03,1.02,2022-05-28,0052,T,81,6.1NRT,298.23,19.08,D
-8.60977,141.79543,325.73,1.03,1.02,2022-05-28,0052,T,81,6.1NRT,298.52,18.16,D
-8.61754,141.78484,312.41,1.03,1.02,2022-05-28,0052,T,64,6.1NRT,296.66,5.61,D
-8.61887,141.79413,316.65,1.03,1.02,2022-05-28,0052,T,71,6.1NRT,297.21,9.07,D
-13.03295,135.13171,316.46,1.58,1.24,2022-05-28,0052,T,61,6.1NRT,301.04,11.51,D
-13.32598,133.91164,316.15,1.91,1.35,2022-05-28,0054,T,66,6.1NRT,299.42,19.62,D
-13.01224,131.97072,312.97,2.73,1.58,2022-05-28,0054,T,59,6.1NRT,295.48,21.35,D
-13.57512,134.04305,322.31,1.85,1.33,2022-05-28,0054,T,75,6.1NRT,299.97,33.34,D
-13.59169,133.70006,313.43,1.96,1.37,2022-05-28,0054,T,59,6.1NRT,298.33,17.49,D
-13.59467,133.71794,310.55,1.96,1.37,2022-05-28,0054,T,41,6.1NRT,298.33,10.48,D
-13.5977,133.71138,313.24,1.96,1.37,2022-05-28,0054,T,58,6.1NRT,298.06,15.5,D
-13.66079,134.00462,312.98,1.86,1.33,2022-05-28,0054,T,57,6.1NRT,298.94,14.15,D
-13.30979,131.84633,330.92,2.75,1.59,2022-05-28,0054,T,84,6.1NRT,298.35,109.66,D
-13.82197,134.12463,319.71,1.81,1.32,2022-05-28,0054,T,72,6.1NRT,300.29,24.5,D
-13.82471,134.14104,316.19,1.8,1.32,2022-05-28,0054,T,66,6.1NRT,300.58,16.58,D
-13.24279,130.70285,320.04,3.37,1.73,2022-05-28,0054,T,74,6.1NRT,300.03,72.07,D
-13.2378,130.69803,322.06,3.37,1.73,2022-05-28,0054,T,76,6.1NRT,300.66,84.16,D
-13.32757,130.83972,312.59,3.28,1.71,2022-05-28,0054,T,53,6.1NRT,300.44,27.38,D
-13.69131,132.8903,315.2,2.25,1.45,2022-05-28,0054,T,64,6.1NRT,297.17,22.51,D
-13.69487,132.91083,315.27,2.24,1.45,2022-05-28,0054,T,64,6.1NRT,299.07,22.46,D
-13.39416,130.7881,311.24,3.3,1.72,2022-05-28,0054,T,46,6.1NRT,299.3,21.89,D
-13.39988,130.81935,320.79,3.28,1.71,2022-05-28,0054,T,74,6.1NRT,299.82,67.62,D
-13.43988,130.71036,317.15,3.34,1.72,2022-05-28,0054,T,69,6.1NRT,301.4,46.08,D
-13.89249,132.75555,312.19,2.29,1.46,2022-05-28,0054,T,48,6.1NRT,299.98,14.09,D
-13.8889,132.74921,312.59,2.29,1.46,2022-05-28,0054,T,52,6.1NRT,300.65,15.5,D
-13.93389,132.69756,315.19,2.3,1.47,2022-05-28,0054,T,64,6.1NRT,299.88,24.34,D
-15.43719,141.58057,321.88,1.15,1.07,2022-05-28,0054,T,74,6.1NRT,302.63,13.26,D
-15.44532,141.56862,357.39,1.14,1.07,2022-05-28,0054,T,98,6.1NRT,301.79,85.02,D
-15.44678,141.57921,377.6,1.15,1.07,2022-05-28,0054,T,100,6.1NRT,305.44,163.84,D
-15.44824,141.58983,319.35,1.15,1.07,2022-05-28,0054,T,28,6.1NRT,305.2,8.74,D
-15.44962,141.57236,366.97,1.15,1.07,2022-05-28,0054,T,100,6.1NRT,304.81,119.46,D
-15.45104,141.58298,332.66,1.15,1.07,2022-05-28,0054,T,85,6.1NRT,303.58,28.89,D
-15.44486,136.16135,319.47,1.24,1.11,2022-05-28,0054,T,40,6.1NRT,305.01,11.96,D
-15.45114,136.13667,321.13,1.25,1.11,2022-05-28,0054,T,59,6.1NRT,303.34,14.87,D
-14.52161,129.84894,313.56,3.68,1.8,2022-05-28,0054,T,59,6.1NRT,300.47,37.43,D
-14.5997,129.8638,311.75,3.66,1.79,2022-05-28,0054,T,56,6.1NRT,300.14,30.7,D
-16.22529,137.02023,345.43,1.1,1.05,2022-05-28,0054,T,92,6.1NRT,305.52,49.11,D
-16.21871,136.9156,330.83,1.12,1.05,2022-05-28,0054,T,53,6.1NRT,304.11,23.16,D
-16.22032,136.92596,321.26,1.12,1.05,2022-05-28,0054,T,50,6.1NRT,303.34,11.78,D
-16.22193,136.93631,321.1,1.11,1.05,2022-05-28,0054,T,70,6.1NRT,303.05,12.39,D
-16.22353,136.94664,347.95,1.11,1.05,2022-05-28,0054,T,94,6.1NRT,305.35,57.85,D
-16.22513,136.95699,330.83,1.11,1.05,2022-05-28,0054,T,82,6.1NRT,304.29,25.38,D
-16.22993,136.9879,325.72,1.11,1.05,2022-05-28,0054,T,72,6.1NRT,303.58,17.36,D
-16.23311,137.00844,344.96,1.11,1.05,2022-05-28,0054,T,92,6.1NRT,305.24,47.52,D
-16.22495,136.8933,322.8,1.12,1.05,2022-05-28,0054,T,70,6.1NRT,303.51,13.79,D
-16.22656,136.90369,320.75,1.12,1.05,2022-05-28,0054,T,29,6.1NRT,303.15,10.81,D
-16.22816,136.91405,326.74,1.12,1.05,2022-05-28,0054,T,37,6.1NRT,304.56,17.7,D
-16.24252,137.00688,328.14,1.11,1.05,2022-05-28,0054,T,28,6.1NRT,307.5,17.34,D
-16.25508,137.02586,323.21,1.1,1.05,2022-05-28,0054,T,30,6.1NRT,306.69,12.61,D
-16.24916,136.8934,317.49,1.12,1.05,2022-05-28,0054,T,58,6.1NRT,304.59,8.19,D
-16.2508,136.90378,315.23,1.12,1.05,2022-05-28,0054,T,54,6.1NRT,303.4,6.41,D
-16.26221,136.97604,340.79,1.11,1.05,2022-05-28,0054,T,90,6.1NRT,304.43,40.59,D
-16.27352,137.04781,319.84,1.1,1.05,2022-05-28,0054,T,68,6.1NRT,304.26,10.59,D
-16.27163,136.9745,324.81,1.11,1.05,2022-05-28,0054,T,71,6.1NRT,303.72,15.74,D
-16.28725,136.95081,336.22,1.11,1.05,2022-05-28,0054,T,82,6.1NRT,305.32,30.53,D
-16.28886,136.96112,328.12,1.11,1.05,2022-05-28,0054,T,33,6.1NRT,304.99,18.14,D
-16.29667,136.94926,330.23,1.11,1.05,2022-05-28,0054,T,81,6.1NRT,305.46,22.04,D
-16.3061,136.94772,318.66,1.11,1.05,2022-05-28,0054,T,56,6.1NRT,304.77,8.36,D
-16.32204,137.05034,319.48,1.1,1.05,2022-05-28,0054,T,21,6.1NRT,304.38,9.72,D
-16.32362,137.06053,324.29,1.1,1.05,2022-05-28,0054,T,68,6.1NRT,303.6,15.34,D
-15.43845,131.67749,314.69,2.57,1.54,2022-05-28,0054,T,53,6.1NRT,300.71,24.96,D
-16.333,137.05898,327.99,1.1,1.05,2022-05-28,0054,T,41,6.1NRT,303.67,18.82,D
-16.35019,137.0457,324.2,1.1,1.05,2022-05-28,0054,T,62,6.1NRT,303.05,15.16,D
-16.37517,137.04607,319.39,1.1,1.05,2022-05-28,0054,T,32,6.1NRT,303.26,9.8,D
